iter	Passed	Remaining
172	551	2638
173	553	2627
174	556	2622
175	558	2614
176	560	2604
177	562	2595
178	564	2587
179	566	2578
180	566	2564
181	568	2557
182	571	2552
183	573	2544
184	575	2535
185	577	2525
186	578	2516
187	580	2507
188	582	2498
189	584	2490
190	586	2484
191	588	2476
192	590	2468
193	592	2460
194	594	2452
195	596	2445
196	598	2438
197	603	2442
198	605	2435
199	607	2428
200	609	2421
201	611	2416
202	613	2408
203	615	2400
204	616	2392
205	618	2384
206	620	2376
207	622	2368
208	623	2360
209	626	2355
210	628	2351
211	631	2345
212	633	2341
213	635	2335
214	637	2329
215	640	2322
216	643	2322
217	646	2317
218	649	2316
219	651	2310
220	653	2303
221	655	2296
222	657	2290
223	659	2285
224	663	2284
225	665	2280
226	668	2275
227	670	2269
228	672	2264
229	674	2257
230	676	2250
231	677	2243
232	679	2236
233	681	2229
234	682	2222
235	684	2215
236	686	2210
237	688	2204
238	690	2197
239	691	2191
240	694	2186
241	695	2179
242	697	2174
243	699	2167
244	701	2162
245	703	2157
246	705	2151
247	707	2145
248	709	2141
249	712	2136
250	714	2133
251	716	2127
252	718	2121
253	720	2115
254	722	2109
255	724	2104
256	725	2098
257	727	2092
258	729	2086
259	732	2084
260	734	2078
261	735	2073
262	737	2066
263	739	2060
264	740	2054
265	742	2048
266	744	2043
267	745	2037
268	747	2030
269	749	2025
270	751	2021
271	753	2017
272	756	2013
273	757	2008
274	760	2004
275	762	2001
276	764	1996
277	767	1992
278	769	1988
279	771	1983
280	773	1979
281	775	1975
282	777	1970
283	779	1964
284	781	1959
285	782	1954
286	784	1948
287	786	1943
288	787	1938
289	789	1932
290	791	1927
291	792	1922
292	794	1917
293	796	1912
294	797	1907
295	799	1902
296	801	1897
297	803	1893
298	807	1892
299	808	1887
300	810	1882
301	812	1877
302	813	1872
303	815	1866
304	816	1861
305	819	1857
306	821	1853
307	822	1848
308	824	1843
309	826	1838
310	827	1834
311	829	1829
312	831	1824
313	833	1821
314	836	1818
315	838	1814
316	840	1810
317	842	1806
318	844	1803
319	846	1799
320	849	1795
321	850	1791
322	852	1787
323	854	1783
324	856	1779
325	859	1776
326	861	1773
327	863	1770
328	866	1766
329	867	1761
330	869	1757
331	871	1752
332	872	1748
333	874	1743
334	876	1739
335	878	1736
336	880	1732
337	882	1727
338	884	1723
339	885	1719
340	887	1714
341	889	1710
342	890	1706
343	893	1703
344	894	1699
345	896	1694
346	898	1690
347	899	1685
348	901	1681
349	903	1677
350	904	1672
351	906	1668
352	908	1664
353	909	1660
354	911	1655
355	912	1651
356	914	1647
357	915	1642
358	917	1638
359	919	1633
360	920	1629
361	922	1625
362	923	1621
363	925	1616
364	926	1612
365	928	1608
366	930	1604
367	931	1599
368	933	1596
369	935	1592
370	937	1589
371	939	1586
372	941	1583
373	943	1580
374	946	1576
375	948	1573
376	950	1570
377	952	1567
378	954	1563
379	956	1559
380	957	1556
381	959	1551
382	961	1548
383	962	1544
384	964	1540
385	966	1536
386	968	1534
387	970	1530
388	972	1527
389	975	1525
390	977	1522
391	979	1519
392	981	1516
393	983	1513
394	985	1510
395	988	1507
396	989	1503
397	991	1499
398	993	1495
399	994	1492
400	997	1489
401	999	1486
402	1000	1482
403	1002	1479
404	1004	1475
405	1005	1471
406	1007	1468
407	1011	1467
408	1013	1464
409	1015	1460
410	1016	1457
411	1018	1453
412	1020	1449
413	1021	1446
414	1023	1442
415	1025	1439
416	1027	1436
417	1029	1433
418	1031	1429
419	1033	1426
420	1034	1423
421	1038	1422
422	1043	1424
423	1045	1420
424	1047	1417
425	1049	1414
426	1051	1411
427	1053	1407
428	1055	1404
429	1057	1402
430	1059	1398
431	1061	1395
432	1063	1392
433	1064	1388
434	1066	1385
435	1067	1381
436	1069	1378
437	1072	1375
438	1074	1372
439	1076	1369
440	1078	1366
441	1079	1363
442	1081	1360
443	1083	1356
444	1088	1357
445	1090	1354
446	1092	1351
447	1094	1348
448	1096	1345
449	1098	1342
450	1101	1341
451	1103	1338
452	1105	1334
453	1106	1330
454	1108	1327
455	1110	1324
456	1112	1321
457	1113	1317
458	1116	1315
459	1118	1312
460	1121	1311
461	1123	1308
462	1124	1304
463	1126	1301
464	1128	1298
465	1129	1294
466	1132	1292
467	1134	1289
468	1136	1287
469	1138	1284
470	1140	1281
471	1143	1278
472	1144	1275
473	1146	1272
474	1149	1270
475	1151	1267
476	1152	1263
477	1154	1260
478	1156	1257
479	1157	1254
480	1161	1252
481	1163	1250
482	1165	1247
483	1167	1244
484	1169	1241
485	1171	1239
486	1173	1236
487	1177	1235
488	1178	1231
489	1180	1228
490	1182	1225
491	1184	1222
492	1185	1219
493	1187	1216
494	1190	1214
495	1192	1211
496	1194	1208
497	1195	1205
498	1197	1202
499	1198	1198
500	1200	1195
501	1202	1192
502	1203	1189
503	1206	1187
504	1207	1183
505	1209	1181
506	1211	1178
507	1213	1175
508	1215	1172
509	1217	1170
510	1220	1167
511	1222	1164
512	1223	1161
513	1225	1158
514	1226	1155
515	1228	1152
516	1230	1149
517	1232	1146
518	1237	1147
519	1239	1144
520	1242	1142
521	1244	1139
522	1246	1137
523	1250	1135
524	1251	1132
525	1253	1129
526	1255	1126
527	1256	1123
528	1258	1120
529	1260	1117
530	1261	1114
531	1263	1111
532	1265	1109
533	1267	1106
534	1273	1106
535	1275	1104
536	1277	1101
537	1279	1098
538	1282	1096
539	1283	1093
540	1286	1091
541	1288	1088
542	1290	1086
543	1293	1083
544	1296	1082
545	1298	1079
546	1300	1077
547	1302	1074
548	1304	1071
549	1306	1069
550	1308	1066
551	1311	1064
552	1312	1061
553	1314	1057
554	1315	1054
555	1317	1052
556	1319	1049
557	1320	1045
558	1322	1043
559	1324	1040
560	1326	1037
561	1327	1034
562	1329	1032
563	1331	1029
564	1333	1026
565	1334	1023
566	1336	1020
567	1338	1017
568	1340	1015
569	1342	1012
570	1343	1009
571	1345	1006
572	1347	1004
573	1348	1001
574	1350	998
575	1352	995
576	1355	993
577	1358	991
578	1360	989
579	1362	986
580	1365	984
581	1367	982
582	1371	980
583	1373	978
584	1375	975
585	1376	972
586	1378	969
587	1379	966
588	1381	964
589	1383	961
590	1386	959
591	1388	956
592	1390	954
593	1392	951
594	1393	948
595	1395	945
596	1396	942
597	1400	941
598	1402	938
599	1403	935
600	1405	932
601	1407	930
602	1408	927
603	1410	924
604	1412	922
605	1414	919
606	1417	917
607	1419	915
608	1421	912
609	1423	910
610	1425	907
611	1429	906
612	1431	903
613	1432	900
614	1434	898
615	1436	895
616	1437	892
617	1439	889
618	1441	887
619	1443	884
620	1444	881
621	1446	879
622	1448	876
623	1450	873
624	1451	871
625	1453	868
626	1454	865
627	1456	862
628	1458	860
629	1460	858
630	1463	855
631	1465	853
632	1467	851
633	1469	848
634	1471	845
635	1474	843
636	1476	841
637	1477	838
638	1479	835
639	1481	833
640	1482	830
641	1484	827
642	1486	825
643	1488	822
644	1489	819
645	1491	817
646	1492	814
647	1494	811
648	1497	810
649	1502	809
650	1504	806
651	1506	803
652	1507	801
653	1509	798
654	1511	796
655	1513	793
656	1515	791
657	1517	788
658	1519	786
659	1522	784
660	1524	781
661	1526	779
662	1528	777
663	1530	774
664	1533	772
665	1535	769
666	1537	767
667	1538	764
668	1540	762
669	1542	759
670	1543	756
671	1545	754
672	1548	752
673	1559	754
674	1562	752
675	1574	754
676	1576	751
677	1579	750
678	1581	747
679	1583	745
680	1585	742
681	1586	739
682	1588	737
683	1590	734
684	1591	731
685	1593	729
686	1595	726
687	1597	724
688	1599	721
689	1600	719
690	1602	716
691	1604	714
692	1605	711
693	1608	709
694	1610	706
695	1612	704
696	1614	701
697	1616	699
698	1617	696
699	1620	694
700	1623	692
701	1625	690
702	1627	687
703	1628	684
704	1630	682
705	1631	679
706	1633	676
707	1634	674
708	1636	671
709	1640	669
710	1642	667
711	1644	665
712	1646	662
713	1647	660
714	1649	657
715	1652	655
716	1654	653
717	1656	650
718	1658	648
719	1661	646
720	1663	643
721	1664	641
722	1667	638
723	1669	636
724	1671	633
725	1672	631
726	1674	628
727	1676	626
728	1677	623
729	1679	621
730	1680	618
731	1682	616
732	1684	613
733	1686	611
734	1687	608
735	1689	606
736	1691	603
737	1693	601
738	1695	598
739	1697	596
740	1699	593
741	1701	591
742	1704	589
743	1705	586
744	1707	584
745	1709	582
746	1711	579
747	1713	577
748	1715	574
749	1716	572
750	1718	569
751	1719	567
752	1721	564
753	1723	562
754	1725	559
755	1727	557
756	1729	555
757	1731	552
758	1733	550
759	1735	547
760	1736	545
761	1738	542
762	1740	540
763	1742	538
764	1744	535
765	1746	533
766	1748	531
767	1750	528
768	1753	526
769	1755	524
770	1757	522
771	1759	519
772	1760	517
773	1762	514
774	1764	512
775	1766	509
776	1768	507
777	1770	505
778	1771	502
779	1773	500
780	1774	497
781	1776	495
782	1778	492
783	1780	490
784	1781	487
785	1783	485
786	1786	483
787	1787	481
788	1789	478
789	1791	476
790	1793	473
791	1794	471
792	1796	469
793	1798	466
794	1800	464
795	1802	461
796	1804	459
797	1805	457
798	1807	454
799	1809	452
800	1810	449
801	1812	447
802	1814	445
803	1816	442
804	1818	440
805	1820	438
806	1822	435
807	1825	433
808	1827	431
809	1828	429
810	1830	426
811	1832	424
812	1834	421
813	1835	419
814	1837	417
815	1838	414
816	1840	412
817	1841	409
818	1843	407
819	1845	405
820	1847	402
821	1848	400
822	1850	397
823	1852	395
824	1854	393
825	1856	391
826	1858	388
827	1860	386
828	1862	384
829	1864	381
830	1866	379
831	1868	377
832	1870	374
833	1872	372
834	1873	370
835	1875	367
836	1876	365
837	1878	363
838	1879	360
839	1881	358
840	1882	355
841	1883	353
842	1885	351
843	1887	348
844	1890	346
845	1891	344
846	1893	341
847	1894	339
848	1896	337
849	1897	334
850	1899	332
851	1900	330
852	1902	327
853	1904	325
854	1907	323
855	1909	321
856	1911	318
857	1913	316
858	1916	314
859	1918	312
860	1920	309
861	1922	307
862	1924	305
863	1926	303
864	1928	301
865	1931	298
866	1933	296
867	1935	294
868	1936	291
869	1938	289
870	1940	287
871	1942	285
872	1945	282
873	1946	280
874	1948	278
875	1949	275
876	1951	273
877	1952	271
878	1954	269
879	1956	266
880	1957	264
881	1959	262
882	1961	259
883	1963	257
884	1965	255
885	1967	253
886	1969	250
887	1970	248
888	1972	246
889	1975	244
890	1977	241
891	1978	239
892	1980	237
893	1981	234
894	1983	232
895	1984	230
896	1986	228
897	1988	225
898	1989	223
899	1991	221
900	1993	219
901	1996	216
902	1998	214
903	2000	212
904	2001	210
905	2003	207
906	2005	205
907	2007	203
908	2008	201
909	2010	198
910	2012	196
911	2013	194
912	2015	192
913	2017	189
914	2018	187
915	2020	185
916	2022	183
917	2024	180
918	2025	178
919	2027	176
920	2029	174
921	2030	171
922	2032	169
923	2034	167
924	2036	165
925	2039	162
926	2041	160
927	2043	158
928	2045	156
929	2047	154
930	2050	151
931	2052	149
932	2054	147
933	2056	145
934	2058	143
935	2060	140
936	2062	138
937	2064	136
938	2066	134
939	2070	132
940	2072	129
941	2074	127
942	2076	125
943	2078	123
944	2079	121
945	2081	118
946	2082	116
947	2084	114
948	2085	112
949	2087	109
950	2088	107
951	2090	105
952	2091	103
953	2093	100
954	2095	98
955	2097	96
956	2100	94
957	2102	92
958	2104	89
959	2106	87
960	2109	85
961	2110	83
962	2112	81
963	2114	78
964	2116	76
965	2118	74
966	2120	72
967	2123	70
968	2124	67
969	2126	65
970	2127	63
971	2129	61
972	2131	59
973	2133	56
974	2135	54
975	2138	52
976	2140	50
977	2142	48
978	2144	45
979	2146	43
980	2148	41
981	2150	39
982	2152	37
983	2154	35
984	2156	32
985	2157	30
986	2160	28
987	2161	26
988	2163	24
989	2164	21
990	2166	19
991	2167	17
992	2169	15
993	2170	13
994	2171	10
995	2173	8
996	2174	6
997	2176	4
998	2177	2
999	2179	0
